Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
tA(UGC)A	TGA1	I	+	166267	166339	0.000000	0.000000	0.000000
YAR014C	BUD14	I	-	166742	168871	4.499530	547.206543	1337.714111
YAR015W	ADE1	I	+	169375	170295	10.072747	1224.988647	2994.636230
YAR018C	KIN3	I	-	170396	171703	2.683720	326.378387	797.872253
YAR019C	CDC15	I	-	172211	175135	1.175744	142.987122	349.549683
YAR019W-A	YAR019W-A	I	+	174998	175330	0.000000	0.000000	0.000000
YAR020C	PAU7	I	-	176856	177023	0.000000	0.000000	0.000000
YAR023C	YAR023C	I	-	179281	179820	0.000000	0.000000	0.000000
tL(CAA)A	SUP56	I	+	181141	181254	0.000000	0.000000	0.000000
tS(AGA)A	tS(AGA)A	I	-	182522	182603	0.000000	0.000000	0.000000
YAR027W	UIP3	I	+	183770	184477	7.086330	861.798035	2106.771973
YAR028W	YAR028W	I	+	184892	185596	5.026950	611.348267	1494.516479
YAR029W	YAR029W	I	+	186321	186545	1.318886	160.395218	392.105927
YAR030C	YAR030C	I	-	186512	186853	1.067190	129.785431	317.276489
YAR031W	PRM9	I	+	186836	187732	3.212120	390.639282	954.966003
YAR033W	MST28	I	+	188107	188811	0.000000	0.000000	0.000000
YAR035W	YAT1	I	+	190193	192256	0.000000	0.000000	0.000000
YAR035C-A	YAR035C-A	I	-	192337	192417	0.000000	0.000000	0.000000
YAR042W	SWH1	I	+	192619	196185	5.024438	611.042786	1493.769653
YAR047C	YAR047C	I	-	201467	201787	0.000000	0.000000	0.000000
YAR050W	FLO1	I	+	203403	208016	0.000000	0.000000	0.000000
YAR053W	YAR053W	I	+	208367	208663	0.000000	0.000000	0.000000
YAR060C	YAR060C	I	-	217157	217492	1.232326	149.868301	366.371552
YAR061W	YAR061W	I	+	218140	218343	0.000000	0.000000	0.000000
YAR062W	YAR062W	I	+	218549	219145	0.000000	0.000000	0.000000
YAR064W	YAR064W	I	+	220198	220497	0.000000	0.000000	0.000000
YAR066W	YAR066W	I	+	221049	221660	1.910317	232.321594	567.938843
YAR068W	YAR068W	I	+	222406	222891	2.582549	314.074524	767.794006
YAR069C	YAR069C	I	-	224011	224304	0.000000	0.000000	0.000000
YAR070C	YAR070C	I	-	224563	224862	0.000000	0.000000	0.000000
