Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL031C	GIP4	I	-	84749	87031	2.715780	169.987274	426.755371
YAL030W	SNC1	I	+	87286	87752	10.559322	660.933655	1659.282837
YAL029C	MYO4	I	-	87855	92270	9.059942	567.083801	1423.671631
YAL028W	FRT2	I	+	92900	94486	0.000000	0.000000	0.000000
YAL027W	SAW1	I	+	94687	95472	1.348464	84.403641	211.896484
YAL026C-A	YAL026C-A	I	-	95386	95823	3.221289	201.628311	506.190613
YAL026C	DRS2	I	-	95630	99697	7.575788	474.186981	1190.452881
HRA1	HRA1	I	+	99305	99868	0.000000	0.000000	0.000000
YAL025C	MAK16	I	-	100225	101145	9.537459	596.972778	1498.708252
YAL024C	LTE1	I	-	101565	105872	2.469011	154.541397	387.978302
YAL023C	PMT2	I	-	106272	108551	33.427853	2092.330566	5252.824219
YAL022C	FUN26	I	-	108877	110430	6.049751	378.668610	950.652710
YAL021C	CCR4	I	-	110846	113359	8.905131	557.393799	1399.344727
YAL020C	ATS1	I	-	113614	114615	2.348303	146.985992	369.010345
YAL019W-A	YAL019W-A	I	+	114250	114819	0.000000	0.000000	0.000000
YAL019W	FUN30	I	+	114919	118314	8.929986	558.949524	1403.250366
YAL018C	LDS1	I	-	118564	119541	0.000000	0.000000	0.000000
YAL017W	PSK1	I	+	120225	124295	4.615369	288.887146	725.255188
YAL016C-B	YAL016C-B	I	-	124307	124492	0.000000	0.000000	0.000000
YAL016C-A	YAL016C-A	I	-	124755	125069	0.000000	0.000000	0.000000
YAL016W	TPD3	I	+	124879	126786	18.393656	1151.303589	2890.363525
YAL015C	NTG1	I	-	126903	128102	1.286667	80.535614	202.185760
YAL014C	SYN8	I	-	128252	129019	6.022135	376.940063	946.313171
YAL013W	DEP1	I	+	129270	130487	3.210591	200.958694	504.509552
YAL012W	CYS3	I	+	130799	131983	62.177216	3891.822998	9770.474609
YAL011W	SWC3	I	+	132199	134076	1.869084	116.990517	293.706268
YAL010C	MDM10	I	-	134184	135665	3.246963	203.235306	510.225006
YAL009W	SPO7	I	+	135854	136633	2.348718	147.011963	369.075562
YAL008W	FUN14	I	+	136914	137510	3.295645	206.282425	517.874878
YAL007C	ERP2	I	-	137698	138345	20.439808	1279.377319	3211.894043
tP(UGG)A	TRN1	I	+	139152	139254	2.222222	139.094284	349.198090
YAL005C	SSA1	I	-	139503	141431	692.410522	43339.656250	108804.796875
YAL004W	YAL004W	I	+	140760	141407	0.000000	0.000000	0.000000
YAL003W	EFB1	I	+	142174	143160	358.349426	22429.962891	56310.726562
snR18	snR18	I	+	142367	142468	23.186274	1451.285278	3643.471436
YAL002W	VPS8	I	+	143707	147531	2.788640	174.547760	438.204529
YAL001C	TFC3	I	-	147594	151166	2.824289	176.779114	443.806366
YAR002W	NUP60	I	+	152257	153876	6.461006	404.410095	1015.276978
YAR002C-A	ERP1	I	-	154065	154724	24.759848	1549.779053	3890.741455
YAR003W	SWD1	I	+	155005	156285	2.750976	172.190277	432.286041
YAR007C	RFA1	I	-	156754	158619	9.205050	576.166504	1446.473755
YAR008W	SEN34	I	+	158966	159793	0.000000	0.000000	0.000000
YAR009C	YAR009C	I	-	160597	164187	1662.599243	104066.132812	261259.437500
YAR010C	YAR010C	I	-	164544	165866	1887.950928	118171.437500	296671.000000
tA(UGC)A	TGA1	I	+	166267	166339	0.000000	0.000000	0.000000
YAR014C	BUD14	I	-	166742	168871	5.759155	360.479492	904.988708
YAR015W	ADE1	I	+	169375	170295	18.148209	1135.940552	2851.793945
YAR018C	KIN3	I	-	170396	171703	3.968654	248.407684	623.630920
YAR019C	CDC15	I	-	172211	175135	1.388991	86.940323	218.264862
YAR019W-A	YAR019W-A	I	+	174998	175330	0.000000	0.000000	0.000000
YAR020C	PAU7	I	-	176856	177023	0.000000	0.000000	0.000000
YAR023C	YAR023C	I	-	179281	179820	0.000000	0.000000	0.000000
tL(CAA)A	SUP56	I	+	181141	181254	0.000000	0.000000	0.000000
tS(AGA)A	tS(AGA)A	I	-	182522	182603	0.000000	0.000000	0.000000
YAR027W	UIP3	I	+	183770	184477	9.605006	601.200684	1509.322510
YAR028W	YAR028W	I	+	184892	185596	3.687307	230.797516	579.420288
YAR029W	YAR029W	I	+	186321	186545	0.000000	0.000000	0.000000
YAR030C	YAR030C	I	-	186512	186853	0.000000	0.000000	0.000000
YAR031W	PRM9	I	+	186836	187732	3.096524	193.818970	486.585144
YAR033W	MST28	I	+	188107	188811	1.496108	93.645035	235.097137
YAR035W	YAT1	I	+	190193	192256	0.000000	0.000000	0.000000
YAR035C-A	YAR035C-A	I	-	192337	192417	0.000000	0.000000	0.000000
YAR042W	SWH1	I	+	192619	196185	5.989809	374.916718	941.233521
YAR047C	YAR047C	I	-	201467	201787	0.000000	0.000000	0.000000
YAR050W	FLO1	I	+	203403	208016	0.000000	0.000000	0.000000
YAR053W	YAR053W	I	+	208367	208663	0.000000	0.000000	0.000000
YAR060C	YAR060C	I	-	217157	217492	0.000000	0.000000	0.000000
YAR061W	YAR061W	I	+	218140	218343	0.000000	0.000000	0.000000
YAR062W	YAR062W	I	+	218549	219145	0.000000	0.000000	0.000000
YAR064W	YAR064W	I	+	220198	220497	0.000000	0.000000	0.000000
YAR066W	YAR066W	I	+	221049	221660	1.864047	116.675240	292.914764
YAR068W	YAR068W	I	+	222406	222891	2.426363	151.871948	381.276611
YAR069C	YAR069C	I	-	224011	224304	0.000000	0.000000	0.000000
YAR070C	YAR070C	I	-	224563	224862	0.000000	0.000000	0.000000
YAL069W	YAL069W	I	+	335	649	0.0	0.0	0.0
YAL068W-A	YAL068W-A	I	+	538	792	0.0	0.0	0.0
